datetime,open,high,low,close,volume
2023-12-29 09:15:00,48750.0,48805.0,48590.0,48631.8,103455
2023-12-29 09:20:00,48635.0,48672.0,48610.0,48610.0,63750
2023-12-29 09:25:00,48610.0,48675.0,48607.75,48673.9,30570
2023-12-29 09:30:00,48665.1,48692.3,48620.7,48687.4,40215
2023-12-29 09:35:00,48684.1,48690.0,48635.0,48635.1,22185
2023-12-29 09:40:00,48635.1,48646.1,48580.0,48624.2,37050
2023-12-29 09:45:00,48624.2,48665.45,48617.85,48635.3,23775
2023-12-29 09:50:00,48628.0,48685.0,48620.05,48678.6,20040
2023-12-29 09:55:00,48674.1,48674.15,48607.05,48613.1,15615
2023-12-29 10:00:00,48615.2,48648.95,48612.5,48632.1,16380
2023-12-29 10:05:00,48632.4,48636.55,48541.0,48568.1,67680
2023-12-29 10:10:00,48565.0,48578.9,48522.55,48550.0,59550
2023-12-29 10:15:00,48553.9,48607.0,48548.0,48600.9,22890
2023-12-29 10:20:00,48601.1,48610.0,48568.6,48605.1,11475
2023-12-29 10:25:00,48604.8,48606.55,48510.85,48517.6,42975
2023-12-29 10:30:00,48517.6,48558.75,48500.05,48550.9,48420
2023-12-29 10:35:00,48550.9,48583.45,48540.05,48579.3,14025
2023-12-29 10:40:00,48577.0,48592.95,48553.3,48578.3,23895
2023-12-29 10:45:00,48578.3,48598.3,48556.65,48565.0,16845
2023-12-29 10:50:00,48565.4,48576.0,48502.6,48514.0,15675
2023-12-29 10:55:00,48517.2,48548.0,48495.0,48537.0,29295
2023-12-29 11:00:00,48541.5,48563.55,48514.05,48517.4,22770
2023-12-29 11:05:00,48515.9,48544.0,48501.0,48526.1,13725
2023-12-29 11:10:00,48525.7,48557.8,48520.05,48555.0,13305
2023-12-29 11:15:00,48555.0,48635.05,48554.25,48633.4,37770
2023-12-29 11:20:00,48633.4,48640.0,48600.1,48624.0,16710
2023-12-29 11:25:00,48624.0,48624.0,48582.1,48592.9,9855
2023-12-29 11:30:00,48590.6,48609.9,48575.2,48609.3,10485
2023-12-29 11:35:00,48609.3,48620.75,48600.0,48601.4,8100
2023-12-29 11:40:00,48607.8,48611.05,48590.35,48592.9,8550
2023-12-29 11:45:00,48592.9,48597.0,48571.0,48588.4,4395
2023-12-29 11:50:00,48588.4,48620.0,48581.0,48614.7,10965
2023-12-29 11:55:00,48614.7,48689.6,48611.95,48668.1,30315
2023-12-29 12:00:00,48660.1,48679.35,48650.05,48669.0,28245
2023-12-29 12:05:00,48669.0,48669.0,48646.5,48661.9,7065
2023-12-29 12:10:00,48660.4,48663.0,48631.0,48634.1,11370
2023-12-29 12:15:00,48634.1,48659.7,48625.0,48651.6,6195
2023-12-29 12:20:00,48651.6,48675.0,48650.4,48658.2,9615
2023-12-29 12:25:00,48664.6,48670.0,48605.0,48605.0,6960
2023-12-29 12:30:00,48606.9,48606.9,48550.2,48592.7,29280
2023-12-29 12:35:00,48587.4,48600.15,48567.45,48568.1,14805
2023-12-29 12:40:00,48568.1,48587.95,48560.0,48563.4,7860
2023-12-29 12:45:00,48569.9,48590.0,48554.1,48587.7,21075
2023-12-29 12:50:00,48586.9,48608.95,48569.0,48597.0,11460
2023-12-29 12:55:00,48598.0,48598.0,48568.25,48568.6,8655
2023-12-29 13:00:00,48562.0,48590.45,48484.3,48578.4,49470
2023-12-29 13:05:00,48583.0,48607.5,48570.05,48592.6,11490
2023-12-29 13:10:00,48592.6,48619.0,48580.0,48619.0,8280
2023-12-29 13:15:00,48616.1,48637.0,48600.0,48607.1,13215
2023-12-29 13:20:00,48607.1,48624.45,48602.9,48612.0,5370
2023-12-29 13:25:00,48612.0,48617.45,48530.0,48535.8,18195
2023-12-29 13:30:00,48533.5,48550.0,48500.0,48526.5,21555
2023-12-29 13:35:00,48526.5,48537.85,48450.0,48470.0,46185
2023-12-29 13:40:00,48470.0,48519.0,48450.0,48515.6,22845
2023-12-29 13:45:00,48515.6,48535.5,48495.0,48525.1,17220
2023-12-29 13:50:00,48524.5,48539.9,48502.0,48520.0,7515
2023-12-29 13:55:00,48520.0,48538.0,48505.95,48511.9,11730
2023-12-29 14:00:00,48511.9,48550.8,48490.05,48548.0,13860
2023-12-29 14:05:00,48546.9,48552.5,48490.0,48490.0,11445
2023-12-29 14:10:00,48489.6,48500.85,48420.25,48427.0,47265
2023-12-29 14:15:00,48425.2,48461.55,48404.75,48455.8,53400
2023-12-29 14:20:00,48453.6,48480.0,48427.0,48427.0,13065
2023-12-29 14:25:00,48430.8,48479.35,48426.1,48468.8,18270
2023-12-29 14:30:00,48472.1,48544.0,48467.55,48537.0,23580
2023-12-29 14:35:00,48536.9,48592.5,48521.15,48550.0,31740
2023-12-29 14:40:00,48543.1,48565.0,48525.0,48531.9,8910
2023-12-29 14:45:00,48527.4,48560.0,48523.0,48559.9,8790
2023-12-29 14:50:00,48559.9,48619.0,48552.55,48589.9,29730
2023-12-29 14:55:00,48589.9,48684.95,48589.85,48674.7,56025
2023-12-29 15:00:00,48679.3,48759.95,48670.0,48704.1,111660
2023-12-29 15:05:00,48695.6,48698.7,48615.3,48644.1,36510
2023-12-29 15:10:00,48646.4,48656.45,48587.0,48617.3,22065
2023-12-29 15:15:00,48618.7,48639.05,48565.0,48571.1,31845
2023-12-29 15:20:00,48571.1,48574.55,48530.0,48543.4,45015
2023-12-29 15:25:00,48543.4,48607.75,48530.0,48565.8,76830
2024-01-01 09:15:00,48580.0,48625.05,48431.45,48447.4,69930
2024-01-01 09:20:00,48455.0,48479.1,48444.0,48477.9,29835
2024-01-01 09:25:00,48478.4,48499.0,48468.0,48472.4,21495
2024-01-01 09:30:00,48472.4,48510.3,48450.0,48506.9,22440
2024-01-01 09:35:00,48506.9,48531.85,48470.0,48470.0,27525
2024-01-01 09:40:00,48470.0,48488.25,48458.0,48466.4,14145
2024-01-01 09:45:00,48470.0,48520.0,48455.0,48516.4,14340
2024-01-01 09:50:00,48516.4,48600.0,48509.8,48594.9,27060
2024-01-01 09:55:00,48594.9,48641.05,48579.05,48619.6,48750
2024-01-01 10:00:00,48619.6,48634.95,48600.0,48603.1,18540
